NO_IES,TP_REDE,UF
UNIVERSIDADE DE BRASÍLIA,PUBLICA,DF
CENTRO UNIVERSITÁRIO DE BRASÍLIA,PRIVADA,DF
UNIVERSIDADE CATÓLICA DE BRASÍLIA,PRIVADA,DF
FACULDADES INTEGRADAS DA UPIS,PRIVADA,DF
CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,PRIVADA,DF
FACULDADE DE ARTES DULCINA DE MORAES,PRIVADA,DF
CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE,PRIVADA,GO
FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ - FACTU,PRIVADA,MG
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB,PRIVADA,DF
FACULDADE CNEC UNAÍ,PRIVADA,MG
CENTRO UNIVERSITÁRIO EURO-AMERICANO,PRIVADA,DF
FACULDADE ANHANGUERA DE BRASÍLIA,PRIVADA,DF
INSTITUTO DE CIÊNCIAS SOCIAIS E HUMANAS,PRIVADA,GO
CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN,PRIVADA,DF
FACULDADE ERICH FROMM,PRIVADA,DF
CENTRO UNIVERSITARIO PROJEÇÃO,PRIVADA,DF
FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES,PRIVADA,GO
CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA,PRIVADA,DF
Faculdade Projeção de Sobradinho,PRIVADA,DF
FACULDADE SOBRESP DE CRISTALINA,PRIVADA,GO
Faculdade Unibras Gama,PRIVADA,DF
FACULDADE AIEC,PRIVADA,DF
FACULDADE ALBERT EINSTEIN,PRIVADA,DF
FACULDADE UNIÃO DE GOYAZES FORMOSA,PRIVADA,GO
Centro Universitário Processus,PRIVADA,DF
FACULDADE ANHANGUERA DE VALPARAÍSO,PRIVADA,GO
REAL FACULDADE DE BRASÍLIA,PRIVADA,DF
FACULDADE PROJEÇÃO DO GUARÁ,PRIVADA,DF
INSTITUTO SUPERIOR DE EDUCAÇÃO ALBERT EINSTEIN,PRIVADA,DF
Centro Universitário LS,PRIVADA,DF
FACULDADE TEOLÓGICA BATISTA DE BRASÍLIA,PRIVADA,DF
Centro Universitário ICESP,PRIVADA,DF
FACULDADES INTEGRADAS IESGO,PRIVADA,GO
FACULDADE EVANGÉLICA DE GOIANÉSIA,PRIVADA,GO
FACULDADE IBRA DE BRASÍLIA,PRIVADA,DF
CENTRO UNIVERSITÁRIO MAUÁ DE BRASÍLIA,PRIVADA,DF
FACULDADE MAUÁ DE GOIÁS,PRIVADA,GO
FACULDADE CCI,PRIVADA,DF
FACULDADE ICESP,PRIVADA,DF
FACULDADE APOGEU,PRIVADA,DF
Faculdade de Tecnologia e Inovação Senac DF,PRIVADA,DF
FACULDADE DE CIÊNCIAS DA SAÚDE DE UNAÍ,PRIVADA,MG
CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL APPARECIDO DOS SANTOS,PRIVADA,DF
Faculdade Unibras Brasília,PRIVADA,DF
"Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa de Brasília",PRIVADA,DF
FACULDADE DE TEOLOGIA DA ARQUIDIOCESE DE BRASÍLIA,PRIVADA,DF
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA",PUBLICA,DF
FACULDADE HORIZONTE,PRIVADA,DF
Instituto Superior de Ciencias Policiais,PUBLICA,DF
Faculdade ANASPS,PRIVADA,DF
Faculdade de Tecnologia CNA,PRIVADA,DF
FACULDADE LOGOS,PRIVADA,GO
FACULDADE LIFE,PRIVADA,GO
ENSINO SUPERIOR ALBERT SABIN,PRIVADA,DF
Faculdade FILOS,PRIVADA,GO
FACULDADE FASIPE DF,PRIVADA,DF
FACULDADE PRESBITERIANA MACKENZIE BRASILIA,PRIVADA,DF
FACULDADE ATAME,PRIVADA,DF
Escola de Políticas Públicas e Governo da Fundação Getulio Vargas,PRIVADA,DF
Faculdade Uninassau Brasília,PRIVADA,DF
Faculdade de Tecnologia Ícone,PRIVADA,DF
Faculdade Republicana,PRIVADA,DF
FACULDADE CATEDRAL,PRIVADA,GO
Faculdades Planalto Central,PRIVADA,DF
FTRB - Faculdade Teológica Reformada de Brasília,PRIVADA,DF
Instituto Superior da Convenção Nac. das Assembleias de Deus,PRIVADA,DF
Faculdade Cerrado,PRIVADA,DF
Faculdade Nossa Senhora Aparecida,PRIVADA,GO
Faculdade de Ciências Jurídicas de Luziânia,PRIVADA,GO
Faculdade Brasília,PRIVADA,DF
Faculdade UNIABA,PRIVADA,DF
Faculdade Ibmec de Brasília,PRIVADA,DF
FACULDADE DE TECNOLOGIA E EDUCAÇÃO SUPERIOR E PROFISSIONALIZ,PRIVADA,GO
"INSIDE - Instituto Superior para Integração, Desenvolvimento e Educação",PRIVADA,DF
Faculdade de Minas EAD,PRIVADA,DF
Faculdade Fraga de Integração da Cultura Educação e Pesquisa,PRIVADA,GO
Faculdade Guerra,PRIVADA,DF
FACULDADE ANCLIVEPA BRASÍLIA,PRIVADA,DF
Instituto Aria,PRIVADA,DF
Faculdade Comunidade das Nações,PRIVADA,DF
UNIVERSIDADE DO DISTRITO FEDERAL,PUBLICA,DF
COLÉGIO TECNOLÓGICO DO ESTADO DE GOIÁS GOVERNADOR OTÁVIO LAG,PUBLICA,GO
